225827	Ziba	Ziba		0.09177	32.36628	P	PPL	UG		C	96	234053	8657875	0		1164	Africa/Kampala	2017-06-06
225828	Zeu	Zeu	Zeio,Zeu	2.5092	30.8034	P	PPL	UG		N	H7	227147	8657766	0		1636	Africa/Kampala	2016-06-22
225829	Zerwa	Zerwa		2.98872	30.9822	H	STM	UG		N	77			0		963	Africa/Kampala	2012-04-28
225830	Zengebe	Zengebe		1.48333	32.51667	P	PPL	UG		C	73	234123	8658189	0		1042	Africa/Kampala	2016-06-22
225831	Zanyiro	Zanyiro		0.76667	31.8	P	PPL	UG		C	56	8644175	8658708	0		1164	Africa/Kampala	2016-06-22
225832	Zambi	Zambi		1.05	32.11667	H	STM	UG		C	D9			0		1069	Africa/Kampala	2012-04-28
225833	Zaiwa	Zaiwa	Zaiwa,Zawa	3.08967	31.90737	T	HLL	UG		N	65	8644133	8657897	0		1178	Africa/Kampala	2016-06-22
225834	Dzaipi	Dzaipi	Dzaipi,Zaipi	3.39263	31.95588	P	PPL	UG		N	65	8644133	8658573	0		722	Africa/Kampala	2016-06-22
225835	Yumbe	Yumbe	Yumbe	3.46506	31.24689	P	PPLA2	UG		N	97	235054	8657860	24300		982	Africa/Kampala	2016-06-22
225836	Yubwe Island	Yubwe Island	Yubwe Island	0.24167	33.40472	T	ISL	UG		C	F2			0		1159	Africa/Kampala	2016-12-03
225837	Yoyo	Yoyo		3.3983	31.31324	P	PPL	UG		N	97	235054	8657839	0		897	Africa/Kampala	2016-06-22
225838	Yole	Yole	Yaule,Yole	3.07618	30.96196	P	PPL	UG		N	77	234911	8657558	0		1170	Africa/Kampala	2016-06-22
225839	Yokaman	Yokaman		3.46667	34.25	T	HLL	UG		N	D1	233569	8657750	0		1755	Africa/Kampala	2016-06-22
225840	Yivu	Yivu		3.28816	30.99822	P	PPL	UG		N	D7	229396	8658274	0		1015	Africa/Kampala	2016-06-22
225841	Yivu	Yivu		3.26113	31.00071	P	PPL	UG		N	D7	229396	8658274	0		1044	Africa/Kampala	2016-06-22
225842	Yingbay	Yingbay	Yingbay,Yingibay	3.61722	31.54167	T	HLL	UG		N	72	8644132	8657955	0		775	Africa/Kampala	2016-06-22
225843	Yidu	Yidu		3.22757	31.12236	P	PPL	UG		N	77	226158	8658433	0		929	Africa/Kampala	2016-06-22
225844	Yeriya	Yeriya		0.48333	30.23333	H	STM	UG		W	79			0		1416	Africa/Kampala	2012-04-28
225846	Yengeji	Yengeji		3.45526	31.12737	H	STM	UG		N	97			0		965	Africa/Kampala	2012-04-28
225847	Yenga	Yenga	Yenga	0.84798	30.01381	P	PPL	UG		W	28	7732250	8658204	0		668	Africa/Kampala	2017-01-04
225848	Yelula	Yelula		3.13406	31.40159	H	STM	UG		N	77			0		626	Africa/Kampala	2012-04-28
225849	Yelele	Yelele		3.09342	34.56431	T	HLL	UG		N	88			0		1277	Africa/Kampala	2018-09-05
225850	Yazi	Yazi		2.67315	30.89577	H	STM	UG		N	77			0		1329	Africa/Kampala	2012-04-28
225851	Yawambi	Yawambi		-0.78333	29.81667	H	STM	UG		W	82			0		1368	Africa/Kampala	2012-04-28
225852	Yamu	Yamu		2.58666	30.91942	P	PPL	UG		N	H7	227147	8657782	0		1400	Africa/Kampala	2016-06-22
225853	Wunga	Wunga		-0.75	31.06667	T	HLL	UG		W	C9	8644166	8658430	0		1375	Africa/Kampala	2016-06-22
225854	Wunga	Wunga		0.98333	32.91667	P	PPL	UG		C	83	8644158	8657767	0		1066	Africa/Kampala	2016-06-22
225855	Woyi	Woyi	Wogi,Woyi	3.51015	31.18004	H	STM	UG		N	97			0		944	Africa/Kampala	2012-04-28
225856	Wop	Wop		2.75	33.53333	T	HLL	UG		N	E3	235459	8657577	0		1241	Africa/Kampala	2016-06-22
225857	Wolo	Wolo	Wolo,Woro	3.3942	31.2406	P	PPL	UG		N	97	235054	8658465	0		929	Africa/Kampala	2016-06-22
225858	Wobulenzi	Wobulenzi	Wobolenzi,Wobulenzi,Wobulenzil	0.72833	32.51222	P	PPL	UG		C	70	8644176	8658283	24415		1155	Africa/Kampala	2016-06-22
225859	Wiria	Wiria		3.05192	31.42927	P	PPL	UG		N	77	8644146	8658638	0		651	Africa/Kampala	2016-06-22
225860	Tomb of Winyi	Tomb of Winyi		0.85	31.01667	S	TMB	UG		W	41	8644139	8658353	0		1181	Africa/Kampala	2016-06-22
225861	Williams Bay	Williams Bay		-0.35	32.2	H	BAY	UG		C	36			0		1134	Africa/Kampala	2012-04-28
225862	Wila	Wila		2.1	33.65	T	HLL	UG		E	B8	235185	8657912	0		1130	Africa/Kampala	2016-06-22
225863	Wila	Wila		2.1	33.65	P	PPL	UG		E	B8	235185	8657912	0		1130	Africa/Kampala	2016-06-22
225864	Wigweng	Wigweng	Wigweng	1.92123	32.69206	P	PPL	UG		N	26	230563	8657821	0		1087	Africa/Kampala	2017-05-07
225865	Wiceri	Wiceri	Wiceri	2.96696	31.99799	T	HLL	UG		N	B9	231253	8629919	0		1150	Africa/Kampala	2018-12-04
225866	Wiceri Forest Reserve	Wiceri Forest Reserve	Wiceri,Wiceri Central Forest Reserve,Wiceri Forest Reserve	2.95088	31.8773	L	RESF	UG		N	B9			0		1051	Africa/Kampala	2012-04-28
225867	Wiawer	Wiawer		2.68167	33.66944	P	PPL	UG		N	B6	230247	8658210	0		1466	Africa/Kampala	2016-06-22
225868	Wesunire	Wesunire		1.23333	33.16667	P	PPL	UG		E	F3	8644160	8658379	0		1068	Africa/Kampala	2016-06-22
225869	West Madi County	West Madi County		3.5	31.58333	A	ADMD	UG		N	72			0		694	Africa/Kampala	2012-04-28
225871	Western Province	Western Province		1.15	31.1	A	ADMD	UG		00				0		1086	Africa/Kampala	2010-08-28
225872	West Bugwe Forest Reserve	West Bugwe Forest Reserve	West Bugwe,West Bugwe Forest Reserve	0.51512	33.98723	L	RESF	UG		E	67			0		1140	Africa/Kampala	2017-02-04
225873	West Budama County	West Budama County	West Budama,West Budama County,WestBudama	0.75	34	A	ADMD	UG		E	76			0		1126	Africa/Kampala	2022-02-17
225875	Wesikire	Wesikire		1.08333	31.11667	H	STM	UG		W	41			0		1094	Africa/Kampala	2012-04-28
225876	Wesigiire	Wesigiire	Wesigiire,Wesikire	1.00241	31.54689	H	STM	UG		C	G1			0		1090	Africa/Kampala	2017-08-02
225877	Wesikire	Wesikire		0.63333	31.21667	H	STM	UG		00				0		1285	Africa/Kampala	1993-12-28
225878	Wera Bay	Wera Bay		0.13265	32.88769	H	BAY	UG		C	E7			0		1134	Africa/Kampala	2016-12-03
225879	Wera	Wera		1.86704	33.75514	P	PPL	UG		E	B8	235185	8658304	0		1089	Africa/Kampala	2017-04-07
225880	Wekomire	Wekomire		0.45	31.01667	P	PPL	UG		W	G2	230499	8658598	0		1373	Africa/Kampala	2016-06-22
225881	Weiga	Weiga	Waiga,Weiga	1.98333	31.4	H	STM	UG		W	C5			0		615	Africa/Kampala	2012-04-28
225882	Wazimenya Bay	Wazimenya Bay	Wazimenya Bay,Wazimenyi Bay	0.20444	32.6625	H	BAY	UG		C	90			0		1134	Africa/Kampala	2012-04-28
225883	Wazele	Wazele		-0.01667	32.03333	T	HLL	UG		C	89	7910214	8658080	0		1171	Africa/Kampala	2016-06-22
225884	Fort Wavertree	Fort Wavertree	Fort Wavertree	0.78809	30.4082	S	FT	UG		W	79	7732254	8657930	0		1514	Africa/Kampala	2017-01-04
225885	Watuba	Watuba		0.76667	30.63333	H	STM	UG		W	85			0		1279	Africa/Kampala	2012-04-28
225886	Watuba	Watuba		1.01556	31.69028	P	PPL	UG		C	42	8644178	8657687	0		1124	Africa/Kampala	2016-06-22
225887	Watuba	Watuba		0.6	32.1	P	PPL	UG		C	D8	8644152	8658544	0		1152	Africa/Kampala	2016-06-22
225888	Watuba	Watuba		0	31.93333	P	PPL	UG		C	89	7910214	8658242	0		1173	Africa/Kampala	2016-06-22
225889	Watoke	Watoke		1.61613	32.27859	P	PPL	UG		C	73	234123	8657970	0		1039	Africa/Kampala	2016-06-22
225890	Barituku	Barituku	Barituku,Watibarituku	3.22215	31.03496	V	FRST	UG		N	77			0		1118	Africa/Kampala	2012-04-28
225891	Wati	Wati	Eti,Wati	3.22766	31.02941	T	MT	UG		N	77	226158	8657769	0	1421	1403	Africa/Kampala	2016-06-22
225892	Watamagufu	Watamagufu	Rwatamagufa	0.27542	29.90458	T	PK	UG		W	40	7869968	8658620	0	4253	4238	Africa/Kampala	2016-06-22
225893	Wataka	Wataka		1.13333	33.51667	T	HLL	UG		E	D2	234305	8658203	0		1062	Africa/Kampala	2016-06-22
225894	Wasa	Wasa	Dorwa,Wasa	1.03333	30.5	H	STM	UG		W	H1			0		623	Africa/Kampala	2012-04-28
225895	Wasa	Wasa	Wasa	0.78333	30.25	P	PPL	UG		W	H1	8644154	8658040	0		963	Africa/Kampala	2017-01-04
225896	Warukiri	Warukiri		-0.61667	31	T	HLL	UG		W	D3	7870011	8657568	0		1274	Africa/Kampala	2016-06-22
225897	Warugo	Warugo	Waruga,Warugo	-0.38333	30.15	H	STM	UG		W	29			0		1439	Africa/Kampala	2012-04-28
225898	Wariki	Wariki		2.76061	30.93687	H	STM	UG		N	77			0		1123	Africa/Kampala	2012-04-28
