	region	country_code
261	Tchangol Tsiaki	SN
262	Trigue	SN
263	Trigue	SN
264	Treguel	SN
265	Trankile	SN
266	Foret Classee de Toutoune	SN
267	Toutoune	SN
268	Toutle	SN
269	Toutikouroudi	SN
270	Tourokoto	SN
271	Tourime	SN
272	Tourguenoul	SN
273	Tourguenol	SN
274	Toure Mbaye	SN
275	Tourekounda	SN
276	Tourekounda	SN
277	Tourekounda	SN
278	Toure Fass	SN
279	Toure	SN
280	Toure	SN
281	Toure	SN
282	Toure	SN
283	Toure	SN
284	Tounti	SN
285	Toungoulel	SN
286	Tounene	SN
287	Toune	SN
288	Toune	SN
289	Toundou Tiekore	SN
290	ToundouMaguena	SN
291	ToundouBesset	SN
292	ToundNguinor	SN
293	Toumbingfara	SN
294	Tounde Tioune	SN
295	Tounde Maleye	SN
296	Tounde	SN
297	Toum Mboune	SN
298	Tomboura	SN
299	Vendou Toumboung Amar	SN
300	Toumboulene	SN
301	Toumbou Diamere	SN
302	Toumbeul	SN
303	Toumanea	SN
304	Ceane de Toum	SN
305	Toum	SN
306	Toum	SN
307	Toulon Guinde	SN
308	Toulel Tiale	SN
309	Toulekedi	SN
310	Touli	SN
311	Toulde Tila	SN
312	Toulde Tiekovi	SN
313	Tiangol Toulal	SN
314	Toula	SN
315	Toukouleur	SN
316	Toukara	SN
317	Toukar	SN
318	Toukanaya	SN
319	Toukanaya	SN
320	Tougout	SN
321	Tougoussourou	SN
322	Tougoude	SN
323	Tougou	SN
324	Tougou	SN
325	Tougon	SN
326	Tougneur	SN
327	Toug Peul	SN
328	Toufnde Gande	SN
329	Toufi	SN
330	Tiangol Toudoundou Noli	SN
331	Vendou Toudougueul	SN
332	Touboula	SN
333	Toub Fal	SN
334	Toubeye Ka	SN
335	Toube Sanveon	SN
336	Toubere Demballa	SN
337	Toubere Demba	SN
338	Toubere Bafal	SN
339	Toubere Amadou	SN
340	Toubere Amadou	SN
341	Toubel Bali Latie	SN
342	Toubel Bali	SN
343	Toubel	SN
344	Toube Kae	SN
345	Toube	SN
346	Toube	SN
347	Touba Toul	SN
348	Touba Tiekene	SN
349	Touba Tiarene	SN
350	Toubassaloum	SN
351	Touba Saloum	SN
352	Touba Niagne	SN
353	Touba Ngouye	SN
354	Touba Ndiaye	SN
355	Touba Ndiaye	SN
356	Touba Mouride	SN
357	Touba Mouride	SN
358	Touba Morikounda	SN
359	Touba Merina	SN
360	Touba Mboul	SN
361	Touba Mbayene	SN
362	Touba Marik	SN
363	Touba Loumbi	SN
364	Toubakouta	SN
365	Toubakouta	SN
366	Toubakouta	SN
367	Toubakouta	SN
368	Toubakouta	SN
369	Touba Keur Aip	SN
370	Touba Kane	SN
371	Touba Kahone	SN
372	Toubak	SN
373	Touba Gaye	SN
374	Touba Fall	SN
375	Touba Fali	SN
376	Touba Fal	SN
377	Touba Bogo	SN
378	Touba Belel	SN
379	Toubab Dialaw	SN
380	Touba Ali Fana	SN
381	Touba	SN
382	Touba Guene	SN
383	Touba	SN
384	Touba	SN
385	Touba	SN
386	Touba	SN
387	Touba	SN
388	Touba	SN
389	Touba	SN
390	Touba	SN
391	Touba	SN
392	Touba	SN
393	Totia	SN
394	Torodo	SN
395	Toro Beye	SN
396	Toro	SN
397	Toro	SN
398	Torekalante Mare	SN
399	Tor	SN
400	Tordieul	SN
401	Toomane	SN
402	Tonkouto	SN
403	Toniataba	SN
404	Tonguia	SN
405	Tonguel Peul	SN
406	Tonguel	SN
407	Tongon	SN
408	Tongo	SN
409	Tongo	SN
410	Tonboro	SN
411	Tomoradji	SN
412	Tomboronkoto	SN
413	Tombon-Komoti	SN
414	Tol	SN
415	Tokozone	SN
416	Tokossian	SN
417	Tokorag	SN
418	Tokomak	SN
419	Toki	SN
420	Toki	SN
421	Toile	SN
422	Togueul	SN
423	Togue	SN
424	Togane	SN
425	Togane	SN
426	Todel	SN
427	Tobor Manga	SN
428	Tobor Boal	SN
429	Marigot de Tobor	SN
